method,metric,mean,std,n_folds
deep_quantum_fusion,slice_accuracy,0.7878732086312964,0.04715058633427221,5
deep_quantum_fusion,slice_balanced_accuracy,0.7708537186175218,0.047120186062668414,5
deep_quantum_fusion,slice_macro_precision,0.7608537415984976,0.062099242082378395,5
deep_quantum_fusion,slice_macro_recall,0.7708537186175218,0.047120186062668414,5
deep_quantum_fusion,slice_macro_f1,0.7606637096522784,0.06022182213096676,5
deep_quantum_fusion,slice_weighted_f1,0.7911435122971179,0.04189284414308856,5
deep_quantum_fusion,slice_mcc,0.6655464378377587,0.08035081177426812,5
deep_quantum_fusion,slice_macro_auroc,0.9161133465950689,0.02568993695488676,5
deep_quantum_fusion,slice_macro_auprc,0.8363202964326112,0.05867840117033219,5
deep_quantum_fusion,slice_class_1_sensitivity,0.6556828498332031,0.037749667995411844,5
deep_quantum_fusion,slice_class_1_specificity,0.8857715531382293,0.05282020129735959,5
deep_quantum_fusion,slice_class_2_sensitivity,0.7877871372192955,0.05116601599713266,5
deep_quantum_fusion,slice_class_2_specificity,0.9015278330303007,0.016681797939991114,5
deep_quantum_fusion,slice_class_3_sensitivity,0.869091168800067,0.09433645892276976,5
deep_quantum_fusion,slice_class_3_specificity,0.8968145995190312,0.029700073559938502,5
deep_quantum_fusion,slice_class_1_precision,0.6361125251866315,0.17041642325554723,5
deep_quantum_fusion,slice_class_1_recall,0.6556828498332031,0.037749667995411844,5
deep_quantum_fusion,slice_class_1_f1,0.63545823616132,0.11194567871827486,5
deep_quantum_fusion,slice_class_1_support,141.6,52.48618865949403,5
deep_quantum_fusion,slice_class_2_precision,0.8608956007195931,0.06412499535837934,5
deep_quantum_fusion,slice_class_2_recall,0.7877871372192955,0.05116601599713266,5
deep_quantum_fusion,slice_class_2_f1,0.8218724051190911,0.048797800522775665,5
deep_quantum_fusion,slice_class_2_support,285.2,104.57867851526906,5
deep_quantum_fusion,slice_class_3_precision,0.7855530988892676,0.05853288713083989,5
deep_quantum_fusion,slice_class_3_recall,0.869091168800067,0.09433645892276976,5
deep_quantum_fusion,slice_class_3_f1,0.8246604876764237,0.07334255719877197,5
deep_quantum_fusion,slice_class_3_support,186.0,41.02438299353203,5
deep_quantum_fusion,patient_accuracy,0.8630897317298796,0.04560132301153093,5
deep_quantum_fusion,patient_balanced_accuracy,0.8693593054119371,0.030152517104366443,5
deep_quantum_fusion,patient_macro_precision,0.8597175350735722,0.03943503724303687,5
deep_quantum_fusion,patient_macro_recall,0.8693593054119371,0.030152517104366443,5
deep_quantum_fusion,patient_macro_f1,0.8560525035205829,0.03756349370978944,5
deep_quantum_fusion,patient_weighted_f1,0.8615409849469853,0.04704362671083593,5
deep_quantum_fusion,patient_mcc,0.7990435828669088,0.05882258200228241,5
deep_quantum_fusion,patient_macro_auroc,0.9664116907385665,0.009916961820365682,5
deep_quantum_fusion,patient_macro_auprc,0.9462721354951078,0.02230321984716575,5
deep_quantum_fusion,patient_class_1_sensitivity,0.730954659375712,0.06686431191090329,5
deep_quantum_fusion,patient_class_1_specificity,0.9602280605728882,0.026266733611239084,5
deep_quantum_fusion,patient_class_2_sensitivity,0.8993454790823211,0.05163362995305599,5
deep_quantum_fusion,patient_class_2_specificity,0.9360509347108019,0.048016120157423375,5
deep_quantum_fusion,patient_class_3_sensitivity,0.9777777777777779,0.04969039949999535,5
deep_quantum_fusion,patient_class_3_specificity,0.9066484113922444,0.05165321455066775,5
deep_quantum_fusion,patient_class_1_precision,0.9074458874458875,0.07103024182056161,5
deep_quantum_fusion,patient_class_1_recall,0.730954659375712,0.06686431191090329,5
deep_quantum_fusion,patient_class_1_f1,0.8072121212121213,0.047742614176939646,5
deep_quantum_fusion,patient_class_1_support,16.4,3.7815340802378077,5
deep_quantum_fusion,patient_class_2_precision,0.8770868347338935,0.10224576942456154,5
deep_quantum_fusion,patient_class_2_recall,0.8993454790823211,0.05163362995305599,5
deep_quantum_fusion,patient_class_2_f1,0.8868439876553467,0.07392050779642437,5
deep_quantum_fusion,patient_class_2_support,17.8,5.06951674225463,5
deep_quantum_fusion,patient_class_3_precision,0.7946198830409357,0.08667842491126403,5
deep_quantum_fusion,patient_class_3_recall,0.9777777777777779,0.04969039949999535,5
deep_quantum_fusion,patient_class_3_f1,0.874101401694281,0.05715242804936501,5
deep_quantum_fusion,patient_class_3_support,12.4,2.6076809620810595,5
