method,metric,mean,std,ci95_low,ci95_high,n_folds
global_only,slice_class_1_sensitivity,0.4384074971372019,0.1548914667722678,0.36002159982346055,0.5167933944509432,15
global_only,slice_class_1_specificity,0.6144924532211774,0.16357374008006073,0.5317127193834711,0.6972721870588837,15
global_only,slice_class_2_sensitivity,0.34122428596660126,0.0999181410556248,0.2906587299177226,0.3917898420154799,15
global_only,slice_class_2_specificity,0.7017958898261137,0.09597026407212801,0.6532282351870697,0.7503635444651577,15
global_only,slice_class_3_sensitivity,0.2979129149812981,0.12707874914836356,0.23360219477778982,0.36222363518480644,15
global_only,slice_class_3_specificity,0.7225048829198408,0.10895002055636736,0.6673685652024953,0.7776412006371863,15
global_only,slice_class_1_precision,0.2614992455761437,0.08981640039529748,0.2160458756443652,0.3069526155079222,15
global_only,slice_class_1_recall,0.4384074971372019,0.1548914667722678,0.36002159982346055,0.5167933944509432,15
global_only,slice_class_1_f1,0.31878097362223834,0.0991399821577156,0.2686092203097943,0.3689527269346824,15
global_only,slice_class_1_support,141.6,48.59276842141373,117.00866624194612,166.19133375805387,15
global_only,slice_class_2_precision,0.4930191077111304,0.129210260942895,0.4276296937091133,0.5584085217131475,15
global_only,slice_class_2_recall,0.34122428596660126,0.0999181410556248,0.2906587299177226,0.3917898420154799,15
global_only,slice_class_2_f1,0.38476715839169856,0.07083509358673928,0.3489196550540032,0.42061466172939393,15
global_only,slice_class_2_support,285.2,96.821042577088,236.2017920327692,334.1982079672308,15
global_only,slice_class_3_precision,0.31855258427604166,0.07504926488952958,0.2805724160092401,0.3565327525428432,15
global_only,slice_class_3_recall,0.2979129149812981,0.12707874914836356,0.23360219477778982,0.36222363518480644,15
global_only,slice_class_3_f1,0.28900292562236823,0.09187372887631784,0.24250840382848618,0.33549744741625026,15
global_only,slice_class_3_support,186.0,37.981198356179185,166.77886163620894,205.22113836379106,15
global_only,patient_class_1_sensitivity,0.5667117288169919,0.19365323921715544,0.46870966814784254,0.6647137894861413,15
global_only,patient_class_1_specificity,0.5868747339293316,0.26659941563186695,0.45195681460748727,0.721792653251176,15
global_only,patient_class_2_sensitivity,0.3686977058029689,0.21960538256847806,0.25756204851807296,0.47983336308786484,15
global_only,patient_class_2_specificity,0.7334429100194438,0.1697532632791879,0.6475359059645419,0.8193499140743458,15
global_only,patient_class_3_sensitivity,0.31127946127946127,0.20089870782826416,0.20961068758618295,0.4129482349727396,15
global_only,patient_class_3_specificity,0.80308186399268,0.15769868020649772,0.7232753206706157,0.8828884073147443,15
global_only,patient_class_1_precision,0.4583807771754333,0.12994974443308796,0.39261713289375405,0.5241444214571126,15
global_only,patient_class_1_recall,0.5667117288169919,0.19365323921715544,0.46870966814784254,0.6647137894861413,15
global_only,patient_class_1_f1,0.4794684379841262,0.08450166719079896,0.43670469414924734,0.5222321818190051,15
global_only,patient_class_1_support,16.4,3.5010202594590707,14.628239293809685,18.171760706190312,15
global_only,patient_class_2_precision,0.49089085517656944,0.20117799079824994,0.38550737903084376,0.5962743313222951,14
global_only,patient_class_2_recall,0.3686977058029689,0.21960538256847806,0.25756204851807296,0.47983336308786484,15
global_only,patient_class_2_f1,0.3541389389787285,0.1690822738995242,0.2685715024010347,0.4397063755564223,15
global_only,patient_class_2_support,17.8,4.693460496112802,15.424781273229769,20.175218726770233,15
global_only,patient_class_3_precision,0.3864575595344827,0.09963089500145636,0.3322975880672277,0.4406175310017377,13
global_only,patient_class_3_recall,0.31127946127946127,0.20089870782826416,0.20961068758618295,0.4129482349727396,15
global_only,patient_class_3_f1,0.30075832679341447,0.13266778595543657,0.2336191637171553,0.36789748986967363,15
global_only,patient_class_3_support,12.4,2.4142434484888695,11.1782242431608,13.6217757568392,15
