class_label,class_name,fpr,tpr
1,Meningioma,0.0,0.0
1,Meningioma,0.002207505518763797,0.0
1,Meningioma,0.002207505518763797,0.016260162601626018
1,Meningioma,0.006622516556291391,0.016260162601626018
1,Meningioma,0.006622516556291391,0.032520325203252036
1,Meningioma,0.008830022075055188,0.032520325203252036
1,Meningioma,0.008830022075055188,0.036585365853658534
1,Meningioma,0.013245033112582781,0.036585365853658534
1,Meningioma,0.013245033112582781,0.056910569105691054
1,Meningioma,0.01545253863134658,0.056910569105691054
1,Meningioma,0.01545253863134658,0.06504065040650407
1,Meningioma,0.017660044150110375,0.06504065040650407
1,Meningioma,0.017660044150110375,0.07723577235772358
1,Meningioma,0.02207505518763797,0.07723577235772358
1,Meningioma,0.02207505518763797,0.10975609756097561
1,Meningioma,0.024282560706401765,0.10975609756097561
1,Meningioma,0.024282560706401765,0.13008130081300814
1,Meningioma,0.026490066225165563,0.13008130081300814
1,Meningioma,0.026490066225165563,0.14227642276422764
1,Meningioma,0.03090507726269316,0.14227642276422764
1,Meningioma,0.03090507726269316,0.14634146341463414
1,Meningioma,0.03532008830022075,0.14634146341463414
1,Meningioma,0.03532008830022075,0.15447154471544716
1,Meningioma,0.046357615894039736,0.15447154471544716
1,Meningioma,0.046357615894039736,0.15853658536585366
1,Meningioma,0.04856512141280353,0.15853658536585366
1,Meningioma,0.04856512141280353,0.16260162601626016
1,Meningioma,0.05077262693156733,0.16260162601626016
1,Meningioma,0.05077262693156733,0.16666666666666666
1,Meningioma,0.052980132450331126,0.16666666666666666
1,Meningioma,0.052980132450331126,0.17886178861788618
1,Meningioma,0.05518763796909492,0.17886178861788618
1,Meningioma,0.05518763796909492,0.18699186991869918
1,Meningioma,0.05739514348785872,0.18699186991869918
1,Meningioma,0.05739514348785872,0.1910569105691057
1,Meningioma,0.06181015452538632,0.1910569105691057
1,Meningioma,0.06181015452538632,0.1951219512195122
1,Meningioma,0.0640176600441501,0.1951219512195122
1,Meningioma,0.0640176600441501,0.1991869918699187
1,Meningioma,0.0706401766004415,0.1991869918699187
1,Meningioma,0.0706401766004415,0.2073170731707317
1,Meningioma,0.0728476821192053,0.2073170731707317
1,Meningioma,0.0728476821192053,0.21138211382113822
1,Meningioma,0.08388520971302428,0.21138211382113822
1,Meningioma,0.08388520971302428,0.22764227642276422
1,Meningioma,0.08609271523178808,0.22764227642276422
1,Meningioma,0.08609271523178808,0.23170731707317074
1,Meningioma,0.09050772626931568,0.23170731707317074
1,Meningioma,0.09050772626931568,0.23577235772357724
1,Meningioma,0.09271523178807947,0.23577235772357724
1,Meningioma,0.09271523178807947,0.24390243902439024
1,Meningioma,0.09492273730684327,0.24390243902439024
1,Meningioma,0.09492273730684327,0.24796747967479674
1,Meningioma,0.09713024282560706,0.24796747967479674
