seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
11,2,svm_classical_fixed_4g_4l,0.9377434475473692,0.9444444444444444,0.9760653957351269,0.95750267312506
11,3,global_only,0.4304029304029304,0.4333911702332755,0.5964339429251709,0.5282883305751006
11,3,local_only,0.369047619047619,0.4078465394254868,0.6054809388142721,0.4478836113780708
11,3,fixed_4g_4l,0.5147008547008547,0.5153267784846732,0.629760488861366,0.4790788789477306
11,3,random_allocation,0.2986824769433465,0.3600347021399653,0.4702570922417413,0.3902310383351544
11,3,proposed_lsa_glqie,0.316169210906053,0.3893387314439946,0.4953470830663813,0.3893755067587283
11,3,classical_proposed,0.7490476190476191,0.7613263929053403,0.8980681842523947,0.8077402757302625
11,3,classical_fixed_4g_4l,0.8533577533577533,0.8516483516483516,0.953262137472664,0.9121569060376992
11,3,svm_classical_proposed,0.8324561403508772,0.8377674956622325,0.9427749800556818,0.88204572616976
11,3,fixed_2g_6l,0.4085018923728601,0.4158473105841527,0.5993592076377164,0.4161180658126716
11,3,fixed_6g_2l,0.1568627450980392,0.1654135338345864,0.3805749663754049,0.2933824597659357
11,3,shuffled_size_allocation,0.3619625988047041,0.3619625988047041,0.4730152583771005,0.3984131461231315
11,3,lesion_size_only,0.5509259259259259,0.5765374975901292,0.7741588029416978,0.6779790856882917
11,3,svm_classical_fixed_4g_4l,0.909196067090804,0.909196067090804,0.9617194554146308,0.926807042208243
11,4,global_only,0.4044817927170869,0.401889338731444,0.5395832388285949,0.405349263588525
11,4,local_only,0.2618886635113815,0.3590643274853801,0.4372342763016137,0.3322179723945354
11,4,fixed_4g_4l,0.2692307692307692,0.3292847503373819,0.4900242924430231,0.3504907662668833
11,4,random_allocation,0.3398692810457516,0.3445793972109761,0.5735422880353221,0.4467870018977939
11,4,proposed_lsa_glqie,0.3320430107526881,0.4070175438596491,0.6394665254765873,0.481495928129112
11,4,classical_proposed,0.7503607503607505,0.7673414304993252,0.8877511935948469,0.79211720756249
11,4,classical_fixed_4g_4l,0.8540141126348023,0.8563202878992353,0.9261195267580716,0.8361022574125446
11,4,svm_classical_proposed,0.8942978168784621,0.912280701754386,0.9642290114426336,0.9159173653606852
11,4,fixed_2g_6l,0.3793372319688109,0.4364372469635627,0.6135582168089907,0.4891122393229611
11,4,fixed_6g_2l,0.34174136613161,0.3620332883490778,0.4469585776280822,0.3635757430953566
11,4,shuffled_size_allocation,0.3743181165661786,0.372919478182636,0.6707729448054526,0.523233825814435
11,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7890813241625936,0.6363911244216175
11,4,svm_classical_fixed_4g_4l,0.9382495590828924,0.9473684210526316,0.9843728618302922,0.9639135957528056
11,5,global_only,0.2989700930877401,0.3745143745143744,0.622118972118972,0.4360648660862623
11,5,local_only,0.1934129089301503,0.2747992747992748,0.4313348313348313,0.3488361357679581
11,5,fixed_4g_4l,0.2074074074074074,0.3299663299663299,0.5346242846242846,0.3741354063509776
11,5,random_allocation,0.2222222222222222,0.3602693602693603,0.560972385972386,0.4403226603693895
11,5,proposed_lsa_glqie,0.2438725490196078,0.3973063973063973,0.5342550092550092,0.3838537727832403
11,5,classical_proposed,0.6791718426501036,0.7217042217042217,0.8834325334325334,0.8191901622636578
11,5,classical_fixed_4g_4l,0.8937179487179487,0.9002849002849004,0.9798141798141798,0.9575270818452636
11,5,svm_classical_proposed,0.777571634714492,0.8032893032893033,0.9643179893179892,0.9111913655252212
11,5,fixed_2g_6l,0.3651536151536151,0.4015799015799016,0.712925512925513,0.5895206665427035
11,5,fixed_6g_2l,0.2804240895073527,0.315980315980316,0.5213180963180962,0.4040102855795558
11,5,shuffled_size_allocation,0.1241167434715821,0.1952861952861952,0.54992104992105,0.4450475680165035
11,5,lesion_size_only,0.4513285024154589,0.5317275317275317,0.6284930034930035,0.4698537222217203
11,5,svm_classical_fixed_4g_4l,0.8940740740740741,0.907018907018907,0.9864948364948364,0.966089872355381
22,1,global_only,0.2571428571428571,0.3416666666666666,0.6220832880779117,0.4904994816726497
22,1,local_only,0.3094615293979026,0.3106060606060606,0.4505896781434416,0.330985436038532
22,1,fixed_4g_4l,0.2709677419354839,0.3583333333333333,0.3706943991890228,0.341307898988672
22,1,random_allocation,0.1720430107526881,0.2666666666666666,0.4571051011911227,0.320674749169943
22,1,proposed_lsa_glqie,0.3475149622690606,0.3928030303030302,0.6570521523478513,0.5390834021048315
22,1,classical_proposed,0.6128364389233955,0.6056818181818182,0.8420183012924949,0.7029064553980446
22,1,classical_fixed_4g_4l,0.7006387921022067,0.6984848484848486,0.911593986459578,0.8461445351313116
22,1,svm_classical_proposed,0.7638476265927245,0.7946969696969698,0.920127801310597,0.8513102489136122
22,1,fixed_2g_6l,0.2922008547008547,0.2950757575757576,0.5967868650664349,0.4426465838647749
22,1,fixed_6g_2l,0.2680921052631579,0.3583333333333333,0.5755987292277615,0.44593309391292
22,1,shuffled_size_allocation,0.2383838383838383,0.3083333333333333,0.5357907027261867,0.3778314649046897
22,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7208889975019007,0.5995816668318353
22,1,svm_classical_fixed_4g_4l,0.7834554697299795,0.815530303030303,0.9605648781724052,0.9262076326129152
22,2,global_only,0.4359349593495935,0.4693732193732194,0.6164382529011528,0.4827658624537034
22,2,local_only,0.2775397796817625,0.3208689458689459,0.4830907332747613,0.375495405028068
22,2,fixed_4g_4l,0.3120277468103555,0.3744658119658119,0.4711791521890978,0.3682849272010798
22,2,random_allocation,0.456822870615974,0.4973290598290598,0.6014900291424862,0.481700296145217
22,2,proposed_lsa_glqie,0.3741190583295846,0.4367877492877492,0.6453840579993823,0.5141179219213142
22,2,classical_proposed,0.742707172054998,0.7492877492877493,0.8529197385770049,0.7638344587319872
22,2,classical_fixed_4g_4l,0.8560328560328561,0.8609330484330484,0.9585530717425632,0.9323204705663954
22,2,svm_classical_proposed,0.8110816386678456,0.8262108262108262,0.9277369385905015,0.8635218277583663
22,2,fixed_2g_6l,0.4845639684349361,0.5133547008547009,0.6567234337428344,0.5358647307485083
22,2,fixed_6g_2l,0.3570518611169018,0.3833689458689459,0.5672852873786918,0.4255574343948016
22,2,shuffled_size_allocation,0.4558129558129558,0.4567307692307692,0.5933158069232465,0.4343616051956842
22,2,lesion_size_only,0.4341736694677871,0.5689102564102564,0.7493715667912487,0.5818774409195792
22,2,svm_classical_fixed_4g_4l,0.9377434475473692,0.9444444444444444,0.9767039653392136,0.9578386946304364
22,3,global_only,0.4304029304029304,0.4333911702332755,0.5946913912922684,0.5296067385416644
22,3,local_only,0.2333333333333333,0.2819548872180451,0.4271664819910434,0.3097661829018743
22,3,fixed_4g_4l,0.4717348927875243,0.4721418931945247,0.6230832601446636,0.4730873520584868
22,3,random_allocation,0.3408363201911589,0.3705417389627916,0.5539289130297903,0.4340913386521224
22,3,proposed_lsa_glqie,0.3416666666666666,0.4424522845575477,0.5507584825019036,0.4218712448537047
22,3,classical_proposed,0.7490476190476191,0.7613263929053403,0.9062902456542808,0.8197071822944357
22,3,classical_fixed_4g_4l,0.8302469135802468,0.8278388278388279,0.947987897823424,0.899057017467304
22,3,svm_classical_proposed,0.8324561403508772,0.8377674956622325,0.9435519808326824,0.8830512565870551
22,3,fixed_2g_6l,0.3822619047619047,0.3795064584538268,0.5873134642323238,0.4079050039137192
22,3,fixed_6g_2l,0.1878306878306878,0.206766917293233,0.383871519562309,0.2908846677337627
22,3,shuffled_size_allocation,0.362379555927943,0.3836514362830152,0.5167433585744989,0.4042088646665736
22,3,lesion_size_only,0.5411521130191207,0.5702718334297282,0.7764750681417348,0.6793386317721485
22,3,svm_classical_fixed_4g_4l,0.909196067090804,0.909196067090804,0.9617194554146308,0.926807042208243
22,4,global_only,0.4044817927170869,0.401889338731444,0.5379391871458435,0.404510131581067
22,4,local_only,0.2538461538461538,0.3117408906882591,0.5071292957128871,0.405308109896154
22,4,fixed_4g_4l,0.2188034188034188,0.2685560053981106,0.3945149449793412,0.3141121832927346
22,4,random_allocation,0.2380952380952381,0.2947368421052632,0.4291971444448224,0.3141811162177111
22,4,proposed_lsa_glqie,0.2275132275132275,0.3380116959064327,0.6165425819450587,0.490736868028808
22,4,classical_proposed,0.7274059274059276,0.7404408457040036,0.8646567871413072,0.762409387245596
22,4,classical_fixed_4g_4l,0.7694763729246489,0.7733693207377418,0.9389965770383728,0.87290842966236
22,4,svm_classical_proposed,0.8942978168784621,0.912280701754386,0.9648555778586738,0.9163672079157908
22,4,fixed_2g_6l,0.4900438072481083,0.4929374718848403,0.6292328672359632,0.4730539129146393
22,4,fixed_6g_2l,0.3354857320374562,0.3433198380566802,0.4123294425732506,0.3253610686221872
22,4,shuffled_size_allocation,0.1770833333333333,0.2982456140350877,0.5166043880440165,0.3931883242152392
22,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7855814120520003,0.6317502583343856
22,4,svm_classical_fixed_4g_4l,0.9382495590828924,0.9473684210526316,0.9843728618302922,0.9639135957528056
22,5,global_only,0.2676175139943256,0.4303289303289303,0.6426610926610927,0.4986476510795551
22,5,local_only,0.1838656838656839,0.2621082621082621,0.4447257697257696,0.3628894479367074
22,5,fixed_4g_4l,0.1952040732528537,0.290986790986791,0.4836447336447336,0.4055833483902544
22,5,random_allocation,0.1989417989417989,0.3501683501683502,0.5361624611624611,0.4270698211518289
22,5,proposed_lsa_glqie,0.19,0.3569023569023569,0.5755281755281755,0.4599713700753199
22,5,classical_proposed,0.6636879432624113,0.7042217042217042,0.8835677335677335,0.8162623839909781
22,5,classical_fixed_4g_4l,0.9270588235294118,0.9373219373219372,0.9889903389903392,0.979777564373524
22,5,svm_classical_proposed,0.777571634714492,0.8032893032893033,0.9656000406000406,0.912128144795334
22,5,fixed_2g_6l,0.5603359173126615,0.5896140896140897,0.7185132685132686,0.6206224157956013
22,5,fixed_6g_2l,0.109090909090909,0.3333333333333333,0.5529846529846529,0.4066634645944638
22,5,shuffled_size_allocation,0.1837173579109063,0.2996632996632997,0.4937708687708688,0.4060250317145321
22,5,lesion_size_only,0.4173297966401414,0.5156695156695157,0.6390953890953891,0.4922653408538646
22,5,svm_classical_fixed_4g_4l,0.8940740740740741,0.907018907018907,0.9864948364948364,0.966089872355381
33,1,global_only,0.1990049751243781,0.3333333333333333,0.5456943991890228,0.3946878406662904
33,1,local_only,0.1990049751243781,0.3333333333333333,0.5377570507946853,0.4164926394175541
33,1,fixed_4g_4l,0.1990049751243781,0.3333333333333333,0.523247257521451,0.3872865249411319
33,1,random_allocation,0.2733333333333334,0.3166666666666666,0.5285901125954889,0.4067403754012224
