seed,fold,method,patient_class_1_recall,patient_class_1_f1,patient_class_2_recall,patient_class_2_f1,patient_class_3_recall,patient_class_3_f1
33,3,classical_fixed_4g_4l,,,,,,
33,3,svm_classical_proposed,,,,,,
33,3,fixed_2g_6l,,,,,,
33,3,fixed_6g_2l,,,,,,
33,3,shuffled_size_allocation,,,,,,
33,3,lesion_size_only,,,,,,
33,3,svm_classical_fixed_4g_4l,,,,,,
33,4,global_only,,,,,,
33,4,local_only,,,,,,
33,4,fixed_4g_4l,,,,,,
33,4,random_allocation,,,,,,
33,4,proposed_lsa_glqie,,,,,,
33,4,classical_proposed,,,,,,
33,4,classical_fixed_4g_4l,,,,,,
33,4,svm_classical_proposed,,,,,,
33,4,fixed_2g_6l,,,,,,
33,4,fixed_6g_2l,,,,,,
33,4,shuffled_size_allocation,,,,,,
33,4,lesion_size_only,,,,,,
33,4,svm_classical_fixed_4g_4l,,,,,,
33,5,global_only,,,,,,
33,5,local_only,,,,,,
33,5,fixed_4g_4l,,,,,,
33,5,random_allocation,,,,,,
33,5,proposed_lsa_glqie,,,,,,
33,5,classical_proposed,,,,,,
33,5,classical_fixed_4g_4l,,,,,,
33,5,svm_classical_proposed,,,,,,
33,5,fixed_2g_6l,,,,,,
33,5,fixed_6g_2l,,,,,,
33,5,shuffled_size_allocation,,,,,,
33,5,lesion_size_only,,,,,,
33,5,svm_classical_fixed_4g_4l,,,,,,
11,1,deep_quantum_fusion,0.7,0.8,0.875,0.8484848484848485,1.0,0.8461538461538461
11,2,deep_quantum_fusion,0.6666666666666666,0.75,0.8461538461538461,0.7857142857142857,1.0,0.9411764705882352
11,3,deep_quantum_fusion,0.7857142857142857,0.88,0.9473684210526316,0.9230769230769232,1.0,0.9285714285714286
11,4,deep_quantum_fusion,0.6842105263157895,0.7878787878787878,0.8666666666666667,0.896551724137931,1.0,0.8125
11,5,deep_quantum_fusion,0.8181818181818182,0.8181818181818182,0.9615384615384616,0.9803921568627452,0.8888888888888888,0.8421052631578947
