class_label,class_name,recall,precision
1,Meningioma,1.0,0.351931330472103
1,Meningioma,0.9959349593495935,0.3510028653295129
1,Meningioma,0.991869918699187,0.3500717360114778
1,Meningioma,0.9878048780487805,0.34913793103448276
1,Meningioma,0.9878048780487805,0.3496402877697842
1,Meningioma,0.9878048780487805,0.35014409221902015
1,Meningioma,0.983739837398374,0.3492063492063492
1,Meningioma,0.983739837398374,0.34971098265895956
1,Meningioma,0.983739837398374,0.35021707670043417
1,Meningioma,0.983739837398374,0.3507246376811594
1,Meningioma,0.983739837398374,0.35123367198838895
1,Meningioma,0.9796747967479674,0.3502906976744186
1,Meningioma,0.9796747967479674,0.3508005822416303
1,Meningioma,0.9796747967479674,0.35131195335276966
1,Meningioma,0.9796747967479674,0.3518248175182482
1,Meningioma,0.975609756097561,0.3508771929824561
1,Meningioma,0.975609756097561,0.3513909224011713
1,Meningioma,0.975609756097561,0.3519061583577713
1,Meningioma,0.975609756097561,0.3524229074889868
1,Meningioma,0.9715447154471545,0.3514705882352941
1,Meningioma,0.9715447154471545,0.35198821796759944
1,Meningioma,0.967479674796748,0.35103244837758113
1,Meningioma,0.967479674796748,0.3515509601181684
1,Meningioma,0.967479674796748,0.3520710059171598
1,Meningioma,0.967479674796748,0.35259259259259257
1,Meningioma,0.967479674796748,0.35311572700296734
1,Meningioma,0.9634146341463414,0.3521545319465082
1,Meningioma,0.9634146341463414,0.35267857142857145
1,Meningioma,0.9634146341463414,0.353204172876304
1,Meningioma,0.9634146341463414,0.3537313432835821
1,Meningioma,0.9634146341463414,0.3542600896860987
1,Meningioma,0.959349593495935,0.3532934131736527
1,Meningioma,0.959349593495935,0.3538230884557721
1,Meningioma,0.9552845528455285,0.35285285285285284
1,Meningioma,0.9552845528455285,0.3533834586466165
1,Meningioma,0.9512195121951219,0.35240963855421686
1,Meningioma,0.9471544715447154,0.3514328808446455
1,Meningioma,0.9471544715447154,0.35196374622356497
1,Meningioma,0.943089430894309,0.35098335854765506
1,Meningioma,0.943089430894309,0.3515151515151515
1,Meningioma,0.9390243902439024,0.3505311077389985
1,Meningioma,0.9390243902439024,0.35106382978723405
1,Meningioma,0.9349593495934959,0.350076103500761
1,Meningioma,0.9349593495934959,0.35060975609756095
1,Meningioma,0.9349593495934959,0.3511450381679389
1,Meningioma,0.9349593495934959,0.3516819571865443
1,Meningioma,0.9349593495934959,0.35222052067381315
1,Meningioma,0.9308943089430894,0.3512269938650307
1,Meningioma,0.9308943089430894,0.35176651305683565
1,Meningioma,0.926829268292683,0.3507692307692308
1,Meningioma,0.926829268292683,0.35130970724191063
1,Meningioma,0.926829268292683,0.35185185185185186
1,Meningioma,0.9227642276422764,0.3508500772797527
1,Meningioma,0.9186991869918699,0.3498452012383901
1,Meningioma,0.9146341463414634,0.3488372093023256
1,Meningioma,0.9146341463414634,0.34937888198757766
1,Meningioma,0.9146341463414634,0.3499222395023328
1,Meningioma,0.9105691056910569,0.34890965732087226
1,Meningioma,0.9065040650406504,0.34789391575663026
1,Meningioma,0.9065040650406504,0.3484375
1,Meningioma,0.9024390243902439,0.3474178403755869
