seed,fold,method,patient_macro_auroc,patient_macro_auprc
11,1,global_only,0.6764300713225445,0.5047177583079544
11,1,local_only,0.5741383367727454,0.4329226309369689
11,1,fixed_4g_4l,0.6284769740414902,0.444068064053927
11,1,random_allocation,0.6610694761232395,0.508455179591266
11,1,proposed_lsa_glqie,0.529127294449875,0.37313501884725525
11,1,classical_proposed,0.8385431374678687,0.6995399592819816
11,1,classical_fixed_4g_4l,0.9069390137938526,0.8408144510031911
11,1,svm_classical_proposed,0.9209695521523479,0.8522849077830078
11,1,fixed_2g_6l,0.5773514717063105,0.40925004723319997
11,1,fixed_6g_2l,0.47303500959414935,0.35082130537375833
11,1,shuffled_size_allocation,0.6095163100539446,0.4329092856954186
11,1,lesion_size_only,0.7213379312841678,0.601557075344791
11,1,svm_classical_fixed_4g_4l,0.9605648781724051,0.9262076326129153
11,2,global_only,0.6208350716668783,0.4777408063680322
11,2,local_only,0.4938239875302297,0.36856217871473534
11,2,fixed_4g_4l,0.5632886348591707,0.44058274815923104
11,2,random_allocation,0.3476601727558673,0.2942804477868983
11,2,proposed_lsa_glqie,0.5595941284778555,0.4112299748166693
11,2,classical_proposed,0.8511133397199616,0.7641377710052736
11,2,classical_fixed_4g_4l,0.9538519280961865,0.9217408439213609
11,2,svm_classical_proposed,0.9284089816012542,0.8704662722028108
11,2,fixed_2g_6l,0.5724339820067098,0.4344875372656937
11,2,fixed_6g_2l,0.4512549370070799,0.35529659191708746
11,2,shuffled_size_allocation,0.32570822411658634,0.30937720565835586
11,2,lesion_size_only,0.6261631455392497,0.4454063855995225
11,2,svm_classical_fixed_4g_4l,0.9760653957351267,0.9575026731250601
11,3,global_only,0.5964339429251709,0.5282883305751006
11,3,local_only,0.6054809388142721,0.44788361137807087
11,3,fixed_4g_4l,0.629760488861366,0.47907887894773066
11,3,random_allocation,0.47025709224174134,0.39023103833515443
11,3,proposed_lsa_glqie,0.4953470830663813,0.3893755067587283
11,3,classical_proposed,0.8980681842523947,0.8077402757302625
11,3,classical_fixed_4g_4l,0.9532621374726639,0.9121569060376992
11,3,svm_classical_proposed,0.9427749800556818,0.88204572616976
11,3,fixed_2g_6l,0.5993592076377164,0.4161180658126716
11,3,fixed_6g_2l,0.38057496637540494,0.29338245976593574
11,3,shuffled_size_allocation,0.4730152583771005,0.3984131461231315
11,3,lesion_size_only,0.7741588029416978,0.6779790856882917
