epoch,train_loss,val_loss
0.0,1.1526243139122354,1.1040295250080738
1.0,1.2118413652925182,1.2129920783365824
2.0,1.1470542761892,1.092386875611284
3.0,1.0734730362481697,1.114434557060594
4.0,1.0401166545419085,1.0730470835823738
5.0,0.9879685829010132,1.0290620519812712
6.0,0.8779142923282286,0.8941075342165526
7.0,0.7836430607876503,0.8822303571532183
8.0,0.675106453641263,0.8800987421599502
9.0,0.5891947435312688,0.8186110881087789
10.0,0.5191103798056116,0.8294013041394659
11.0,0.4339443432816933,0.798364120135294
12.0,0.3728330804925858,0.7620413081044587
13.0,0.32247427803698403,0.8045268821700403
14.0,0.2637897089622411,0.7571729843147602
15.0,0.25710987633356885,0.7872917359152181
16.0,0.22523288455995982,0.80294096614973
17.0,0.21397683731415662,0.8085082795189018
18.0,0.20521687384291878,0.7849210029369164
19.0,0.1706752142668777,0.7379876542367078
20.0,0.16489163111760483,0.7671755437011162
21.0,0.13396662535456033,0.7570024925485519
22.0,0.13894230634102833,0.8111660088890812
23.0,0.13713596986484583,0.8137907462488919
24.0,0.11045909074299629,0.8145437159252031
25.0,0.10853213326335326,0.8537120201082502
26.0,0.12394299669602851,0.8186011869297294
27.0,0.11016621108926707,0.81304864126743
28.0,0.1179391335404203,0.7631978800553909
29.0,0.11416118817273149,0.8020570505231105
30.0,0.13281732551896108,0.8579778572489671
31.0,0.09956471352076213,0.823200817542189
32.0,0.09640228796133944,0.8827769786380248
33.0,0.10048411305365888,0.8398147396044177
34.0,0.1066985643490615,0.8179676476477311
35.0,0.09582648004397788,0.8850258801116566
36.0,0.10369797091490411,0.8810953887089814
37.0,0.10233103747740624,0.8387147466959063
